
2025-12-27 22:15:35,481 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/delhi "HTTP/1.1 200 OK"
2025-12-27 22:15:35,980 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/bangalore "HTTP/1.1 200 OK"
2025-12-27 22:15:36,474 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/hyderabad "HTTP/1.1 200 OK"
2025-12-27 22:15:36,989 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/kolkata "HTTP/1.1 200 OK"
2025-12-27 22:15:37,425 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/chennai "HTTP/1.1 200 OK"
2025-12-27 22:15:37,902 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/agra "HTTP/1.1 200 OK"
2025-12-27 22:15:39,768 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/ajmer "HTTP/1.1 200 OK"
2025-12-27 22:15:40,257 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/amaravati "HTTP/1.1 200 OK"
2025-12-27 22:15:42,413 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/bhopal "HTTP/1.1 200 OK"
2025-12-27 22:15:43,578 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/aurangabad "HTTP/1.1 200 OK"
2025-12-27 22:15:44,848 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/cuttack "HTTP/1.1 200 OK"
2025-12-27 22:15:45,462 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/dehradun "HTTP/1.1 200 OK"
2025-12-27 22:15:46,068 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/erode "HTTP/1.1 200 OK"
2025-12-27 22:15:46,682 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/faridabad "HTTP/1.1 200 OK"
2025-12-27 22:15:47,318 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/ghaziabad "HTTP/1.1 200 OK"
2025-12-27 22:15:48,551 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/gurgaon "HTTP/1.1 200 OK"
2025-12-27 22:15:49,021 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/guwahati "HTTP/1.1 200 OK"
2025-12-27 22:15:50,165 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/imphal "HTTP/1.1 200 OK"
2025-12-27 22:15:50,663 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/indore "HTTP/1.1 200 OK"
2025-12-27 22:15:51,137 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/itanagar "HTTP/1.1 200 OK"
2025-12-27 22:15:51,636 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/jaipur "HTTP/1.1 200 OK"
2025-12-27 22:15:52,437 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/jamshedpur "HTTP/1.1 200 OK"
2025-12-27 22:15:52,912 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/jodhpur "HTTP/1.1 200 OK"
2025-12-27 22:15:53,403 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/kanpur "HTTP/1.1 200 OK"
2025-12-27 22:15:54,575 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/kohima "HTTP/1.1 200 OK"
2025-12-27 22:15:55,066 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/kolhapur "HTTP/1.1 200 OK"
2025-12-27 22:15:55,565 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/kozhikode "HTTP/1.1 200 OK"
2025-12-27 22:15:56,056 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/ludhiana "HTTP/1.1 200 OK"
2025-12-27 22:15:56,537 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/lucknow "HTTP/1.1 200 OK"
2025-12-27 22:15:57,064 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/madurai "HTTP/1.1 200 OK"
2025-12-27 22:15:57,535 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/mangalore "HTTP/1.1 200 OK"
2025-12-27 22:15:58,008 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/meerut "HTTP/1.1 200 OK"
2025-12-27 22:15:58,489 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/mysore "HTTP/1.1 200 OK"
2025-12-27 22:15:59,298 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/nashik "HTTP/1.1 200 OK"
2025-12-27 22:15:59,786 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/navi-mumbai "HTTP/1.1 200 OK"
2025-12-27 22:16:00,435 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/noida "HTTP/1.1 200 OK"
2025-12-27 22:16:00,926 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/patna "HTTP/1.1 200 OK"
